Tournament,Tier,Location
Internazionali BNL d'Italia,WTA1000,Rome
Miami Open,WTA1000,Miami
Istanbul Cup,WTA250,Istanbul
Adelaide International 1,WTA500,Adelaide
French Open,Grand Slam,Paris
Nottingham Open,WTA250,Nottingham
Canadian Open,WTA1000,Montreal
Luxembourg Open,WTA250,Luxembourg
Tennis in the Land,WTA250,Cleveland
Porsche Tennis Grand Prix,WTA500,Stuttgart
European Open,WTA265,Hamburg
Melbourne Summer Set 2,WTA250,Melbourne
Serbia Ladies Open,WTA250,Belgrade
European Open,WTA257,Hamburg
European Open,WTA275,Hamburg
Qatar Total Open,WTA500,Doha
Poland Open,WTA250,Gdynia
Dubai Duty Free Tennis Championships,WTA500,Dubai
Yarra Valley Classic,WTA500,Melbourne
European Open,WTA262,Hamburg
Ladies Open Lausanne,WTA250,Lausanne
European Open,WTA267,Hamburg
European Open,WTA270,Hamburg
Volvo Car Open,WTA500,Charleston
Mutua Madrid Open,WTA1000,Madrid
Sydney Tennis Classic,WTA500,Sydney
European Open,WTA256,Hamburg
Copa Colsanitas,WTA250,Bogota
European Open,WTA268,Hamburg
Viking International,WTA500,Eastbourne
European Open,WTA255,Hamburg
US Open,Grand Slam,New York
Qatar Open,WTA1000,Doha
Gippsland Trophy,WTA500,Melbourne
European Open,WTA276,Hamburg
Wimbledon,Grand Slam,London
Generali Ladies Linz Open,WTA250,Linz
Kremlin Cup,WTA500,Moscow
Astana Open,WTA250,Nur-Sultan
Phillip Island Trophy,WTA250,Melbourne
Internationaux de Strasbourg,WTA250,Strasbourg
European Open,WTA258,Hamburg
Ostrava Open,WTA250,Ostrava
Australian Open,Grand Slam,Melbourne
Transylvania Open,WTA250,Cluj-Napoca
European Open,WTA263,Hamburg
Ladies Trophy,WTA500,St. Petersburg
Bad Homburg Open,WTA250,Bad Homburg
European Open,WTA272,Hamburg
European Open,WTA259,Hamburg
Monterrey Open,WTA250,Monterrey
Slovenia Open,WTA250,Portoroz
Abu Dhabi WTA Women's Tennis Open,WTA500,Abu Dhabi
European Open,WTA253,Hamburg
European Open,WTA266,Hamburg
Bett1Open,WTA500,Berlin
Courmayeur Ladies Open,WTA250,Courmayeur
Mubadala Silicon Valley Classic,WTA500,San Jose
WTA Finals,Tour Championships,Guadalajara
Internazionali Femminili di Palermo,WTA250,Palermo
European Open,WTA274,Hamburg
Prague Open,WTA250,Prague
Emilia-Romagna Open,WTA250,Parma
European Open,WTA251,Hamburg
Tenerife Ladies Open,WTA250,Tenerife
European Open,WTA250,Hamburg
Grampians Trophy,WTA500,Melbourne
European Open,WTA269,Hamburg
European Open,WTA260,Hamburg
European Open,WTA252,Hamburg
European Open,WTA273,Hamburg
MUSC Health Women's Open,WTA250,Charleston
European Open,WTA261,Hamburg
European Open,WTA264,Hamburg
Abierto Zapopan,WTA250,Guadalajara
Western & Southern Financial Group Women's Open,WTA1000,Cincinnati
Melbourne Summer Set 1,WTA250,Melbourne
Viking Classic ,WTA250,Birmingham
Lyon Open,WTA250,Lyon
Adelaide International,WTA500,Adelaide
Chicago Women's Opeen,WTA250,Chicago
European Open,WTA254,Hamburg
Budapest Open,WTA250,Budapest
BNP Paribas Open,WTA1000,Indian Wells
European Open,WTA271,Hamburg
Chicago Fall Tennis Classic,WTA500,Chicago
